om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
663782,2022,01,01,2022-01-01,00:26:00,3,MO,29,0,1.50,0,0,0,0,36.0411,-89.8700,36.0411,-89.8700,0,0,0,0,0,155,0,0,0
663783,2022,01,01,2022-01-01,04:20:00,3,KY,21,0,1.00,0,0,0,0,36.9200,-86.4500,36.9200,-86.4500,0,0,0,0,0,227,0,0,0
663784,2022,01,01,2022-01-01,05:17:00,3,KY,21,0,1.50,0,0,0,0,37.0300,-85.5100,37.0300,-85.5100,0,0,0,0,0,1,0,0,0
663785,2022,01,01,2022-01-01,05:29:00,3,KY,21,0,1.25,0,0,0,0,37.1000,-85.3100,37.1000,-85.3100,0,0,0,0,0,1,0,0,0
663786,2022,01,08,2022-01-08,15:40:00,3,AR,05,0,0.75,0,0,0,0,34.7800,-92.3500,34.7800,-92.3500,0,0,0,0,0,119,0,0,0
663787,2022,01,08,2022-01-08,15:45:00,3,AR,05,0,0.75,0,0,0,0,34.8400,-92.2600,34.8400,-92.2600,0,0,0,0,0,119,0,0,0
663788,2022,01,08,2022-01-08,16:10:00,3,TX,48,0,1.50,0,0,0,0,31.5809,-94.5982,31.5809,-94.5982,0,0,0,0,0,347,0,0,0
663789,2022,01,09,2022-01-09,05:30:00,3,LA,22,0,0.75,0,0,0,0,31.5082,-93.0341,31.5082,-93.0341,0,0,0,0,0,69,0,0,0
663790,2022,01,09,2022-01-09,14:30:00,3,AL,01,0,1.00,0,0,0,0,31.5601,-87.8605,31.5601,-87.8605,0,0,0,0,0,25,0,0,0
663791,2022,01,09,2022-01-09,15:55:00,3,AL,01,0,1.75,0,0,0,0,31.5800,-87.2700,31.5800,-87.2700,0,0,0,0,0,99,0,0,0
663792,2022,01,09,2022-01-09,16:05:00,3,AL,01,0,1.75,0,0,0,0,31.5500,-87.1700,31.5500,-87.1700,0,0,0,0,0,99,0,0,0
663793,2022,01,09,2022-01-09,16:05:00,3,AL,01,0,2.50,0,0,0,0,31.5500,-87.1700,31.5500,-87.1700,0,0,0,0,0,99,0,0,0
663794,2022,01,09,2022-01-09,16:30:00,3,MS,28,0,1.75,0,0,0,0,30.9334,-88.5735,30.9334,-88.5735,0,0,0,0,0,39,0,0,0
663795,2022,01,09,2022-01-09,17:04:00,3,MS,28,0,1.00,0,0,0,0,30.6300,-89.7000,30.6300,-89.7000,0,0,0,0,0,109,0,0,0
663796,2022,01,09,2022-01-09,17:09:00,3,MS,28,0,1.25,0,0,0,0,30.6200,-89.6500,30.6200,-89.6500,0,0,0,0,0,109,0,0,0
663797,2022,01,10,2022-01-10,16:40:00,3,FL,12,0,1.75,0,0,0,0,27.3700,-80.4900,27.3700,-80.4900,0,0,0,0,0,111,0,0,0
663798,2022,01,10,2022-01-10,16:40:00,3,FL,12,0,1.00,0,0,0,0,27.4100,-80.4600,27.4100,-80.4600,0,0,0,0,0,111,0,0,0
663799,2022,01,10,2022-01-10,16:45:00,3,FL,12,0,2.00,0,0,0,0,27.3700,-80.4700,27.3700,-80.4700,0,0,0,0,0,111,0,0,0
663800,2022,01,10,2022-01-10,16:55:00,3,FL,12,0,1.00,0,0,0,0,27.3200,-80.4300,27.3200,-80.4300,0,0,0,0,0,111,0,0,0
663801,2022,01,17,2022-01-17,00:52:00,3,NJ,34,0,0.88,0,0,0,0,39.8700,-74.1600,39.8700,-74.1600,0,0,0,0,0,29,0,0,0
663802,2022,01,19,2022-01-19,16:20:00,3,TX,48,0,1.25,0,0,0,0,32.5269,-94.7512,32.5269,-94.7512,0,0,0,0,0,183,0,0,0
663803,2022,01,19,2022-01-19,16:20:00,3,TX,48,0,0.88,0,0,0,0,32.5321,-94.7309,32.5321,-94.7309,0,0,0,0,0,183,0,0,0
663804,2022,01,19,2022-01-19,16:38:00,3,TX,48,0,1.25,0,0,0,0,32.5049,-94.5745,32.5049,-94.5745,0,0,0,0,0,203,0,0,0
663805,2022,01,19,2022-01-19,16:58:00,3,TX,48,0,2.50,0,0,0,0,32.5209,-94.3702,32.5209,-94.3702,0,0,0,0,0,203,0,0,0
663806,2022,01,19,2022-01-19,16:58:00,3,TX,48,0,2.00,0,0,0,0,32.5254,-94.3672,32.5254,-94.3672,0,0,0,0,0,203,0,0,0
663807,2022,01,19,2022-01-19,17:30:00,3,TX,48,0,1.00,0,0,0,0,32.5118,-94.0711,32.5118,-94.0711,0,0,0,0,0,203,0,0,0
663808,2022,01,19,2022-01-19,18:31:00,3,TX,48,0,1.00,0,0,0,0,31.4807,-94.7237,31.4807,-94.7237,0,0,0,0,0,347,0,0,0
663809,2022,02,17,2022-02-17,02:16:00,3,TX,48,0,0.75,0,0,0,0,33.1000,-98.2500,33.1000,-98.2500,0,0,0,0,0,237,0,0,0
663810,2022,02,17,2022-02-17,02:54:00,3,TX,48,0,0.88,0,0,0,0,33.5700,-97.8400,33.5700,-97.8400,0,0,0,0,0,337,0,0,0
663811,2022,02,17,2022-02-17,17:10:00,3,AL,01,0,1.00,0,0,0,0,33.2000,-87.5700,33.2000,-87.5700,0,0,0,0,0,125,0,0,0
663812,2022,02,21,2022-02-21,19:56:00,3,TX,48,0,1.00,0,0,0,0,33.1300,-97.8000,33.1300,-97.8000,0,0,0,0,0,497,0,0,0
663813,2022,02,21,2022-02-21,20:00:00,3,TX,48,0,2.00,0,0,15000,0,33.0800,-97.7100,33.0800,-97.7100,0,0,0,0,0,497,0,0,0
663814,2022,02,21,2022-02-21,20:03:00,3,TX,48,0,1.50,0,0,0,0,33.1500,-97.6900,33.1500,-97.6900,0,0,0,0,0,497,0,0,0
663815,2022,02,21,2022-02-21,20:05:00,3,TX,48,0,1.75,0,0,150000,0,33.1335,-97.6225,33.1335,-97.6225,0,0,0,0,0,497,0,0,0
663816,2022,02,21,2022-02-21,20:17:00,3,TX,48,0,1.75,0,0,500000,0,33.1900,-97.4800,33.1900,-97.4800,0,0,0,0,0,497,0,0,0
663817,2022,02,21,2022-02-21,20:19:00,3,TX,48,0,1.50,0,0,0,0,33.1900,-97.5000,33.1900,-97.5000,0,0,0,0,0,497,0,0,0
663818,2022,02,21,2022-02-21,20:20:00,3,TX,48,0,1.75,0,0,80000,0,33.1842,-97.4516,33.1842,-97.4516,0,0,0,0,0,497,0,0,0
663819,2022,02,21,2022-02-21,20:21:00,3,TX,48,0,1.00,0,0,0,0,33.2700,-97.4200,33.2700,-97.4200,0,0,0,0,0,497,0,0,0
663820,2022,02,21,2022-02-21,20:29:00,3,TX,48,0,1.75,0,0,6000,0,33.2400,-97.3500,33.2400,-97.3500,0,0,0,0,0,121,0,0,0
663821,2022,02,21,2022-02-21,20:37:00,3,TX,48,0,0.75,0,0,0,0,33.4100,-97.2500,33.4100,-97.2500,0,0,0,0,0,121,0,0,0
663822,2022,02,21,2022-02-21,20:44:00,3,TX,48,0,0.75,0,0,0,0,33.3700,-97.1600,33.3700,-97.1600,0,0,0,0,0,121,0,0,0
663823,2022,02,21,2022-02-21,20:48:00,3,TX,48,0,0.75,0,0,0,0,32.8700,-97.8600,32.8700,-97.8600,0,0,0,0,0,367,0,0,0
663824,2022,02,21,2022-02-21,20:49:00,3,TX,48,0,1.00,0,0,0,0,32.9400,-97.8600,32.9400,-97.8600,0,0,0,0,0,367,0,0,0
663825,2022,02,21,2022-02-21,20:57:00,3,TX,48,0,1.00,0,0,0,0,32.9700,-97.7200,32.9700,-97.7200,0,0,0,0,0,367,0,0,0
663826,2022,02,21,2022-02-21,20:59:00,3,TX,48,0,0.75,0,0,0,0,32.9900,-97.7100,32.9900,-97.7100,0,0,0,0,0,367,0,0,0
663827,2022,02,21,2022-02-21,21:01:00,3,TX,48,0,1.50,0,0,5000,0,32.9388,-97.6627,32.9388,-97.6627,0,0,0,0,0,367,0,0,0
663828,2022,02,21,2022-02-21,21:05:00,3,TX,48,0,1.50,0,0,0,0,32.9100,-97.7200,32.9100,-97.7200,0,0,0,0,0,367,0,0,0
663829,2022,02,21,2022-02-21,21:43:00,3,TX,48,0,1.00,0,0,0,0,33.1400,-98.6000,33.1400,-98.6000,0,0,0,0,0,503,0,0,0
663830,2022,02,21,2022-02-21,22:18:00,3,TX,48,0,1.25,0,0,0,0,33.2200,-98.1600,33.2200,-98.1600,0,0,0,0,0,237,0,0,0
663831,2022,02,22,2022-02-22,02:54:00,3,IL,17,0,0.75,0,0,0,0,41.4900,-90.5200,41.4900,-90.5200,0,0,0,0,0,161,0,0,0
663832,2022,02,22,2022-02-22,03:18:00,3,TX,48,0,1.00,0,0,0,0,33.0700,-97.0400,33.0700,-97.0400,0,0,0,0,0,121,0,0,0
663833,2022,02,22,2022-02-22,03:22:00,3,TX,48,0,1.50,0,0,3000,0,33.1400,-96.9700,33.1400,-96.9700,0,0,0,0,0,121,0,0,0
663834,2022,02,22,2022-02-22,03:24:00,3,TX,48,0,1.00,0,0,0,0,33.1800,-96.9200,33.1800,-96.9200,0,0,0,0,0,121,0,0,0
663835,2022,02,22,2022-02-22,03:25:00,3,TX,48,0,1.00,0,0,0,0,33.1400,-96.9000,33.1400,-96.9000,0,0,0,0,0,121,0,0,0
663836,2022,02,22,2022-02-22,03:25:00,3,TX,48,0,1.75,0,0,25000,0,33.1500,-96.8800,33.1500,-96.8800,0,0,0,0,0,121,0,0,0
663837,2022,02,22,2022-02-22,03:26:00,3,TX,48,0,1.00,0,0,0,0,33.1600,-96.8600,33.1600,-96.8600,0,0,0,0,0,121,0,0,0
663838,2022,02,22,2022-02-22,03:30:00,3,TX,48,0,1.00,0,0,0,0,33.1400,-96.9200,33.1400,-96.9200,0,0,0,0,0,121,0,0,0
663839,2022,02,22,2022-02-22,03:32:00,3,TX,48,0,1.25,0,0,0,0,33.2100,-96.7700,33.2100,-96.7700,0,0,0,0,0,85,0,0,0
663840,2022,02,22,2022-02-22,03:40:00,3,TX,48,0,1.00,0,0,0,0,33.1918,-96.7251,33.1918,-96.7251,0,0,0,0,0,85,0,0,0
663841,2022,02,22,2022-02-22,03:42:00,3,TX,48,0,1.25,0,0,0,0,33.1700,-96.7100,33.1700,-96.7100,0,0,0,0,0,85,0,0,0
663842,2022,02,22,2022-02-22,03:46:00,3,TX,48,0,1.00,0,0,0,0,33.1500,-96.6900,33.1500,-96.6900,0,0,0,0,0,85,0,0,0
663843,2022,02,22,2022-02-22,03:47:00,3,TX,48,0,1.50,0,0,0,0,33.2200,-96.6100,33.2200,-96.6100,0,0,0,0,0,85,0,0,0
663844,2022,02,22,2022-02-22,04:01:00,3,TX,48,0,1.50,0,0,0,0,33.2600,-96.3900,33.2600,-96.3900,0,0,0,0,0,85,0,0,0
663845,2022,02,22,2022-02-22,04:34:00,3,TX,48,0,0.75,0,0,0,0,33.4200,-95.9700,33.4200,-95.9700,0,0,0,0,0,147,0,0,0
663846,2022,02,22,2022-02-22,05:20:00,3,TX,48,0,1.00,0,0,0,0,33.4300,-95.6600,33.4300,-95.6600,0,0,0,0,0,119,0,0,0
663847,2022,02,22,2022-02-22,05:44:00,3,IL,17,0,0.88,0,0,0,0,41.8800,-88.4700,41.8800,-88.4700,0,0,0,0,0,89,0,0,0
663848,2022,02,22,2022-02-22,06:01:00,3,IL,17,0,0.88,0,0,0,0,42.0400,-88.2800,42.0400,-88.2800,0,0,0,0,0,89,0,0,0
663849,2022,02,22,2022-02-22,06:17:00,3,IL,17,0,0.88,0,0,0,0,42.1211,-88.1300,42.1211,-88.1300,0,0,0,0,0,31,0,0,0
663850,2022,02,22,2022-02-22,08:09:00,3,WI,55,0,0.75,0,0,0,0,43.2100,-90.6700,43.2100,-90.6700,0,0,0,0,0,23,0,0,0
