om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
620938,2022,01,01,2022-01-01,09:21:00,3,KY,21,0,2,0,0,600000,0,36.8500,-87.4601,36.8457,-87.4800,1.1400,125,1,1,1,47,0,0,0,0
620939,2022,01,01,2022-01-01,10:52:00,3,KY,21,0,0,0,0,0,0,37.3770,-85.9860,37.3810,-85.9820,0.3500,50,1,1,1,99,0,0,0,0
620940,2022,01,01,2022-01-01,11:16:00,3,KY,21,0,0,0,0,3000,0,36.6975,-87.0981,36.7400,-87.0100,5.8800,100,1,1,1,219,141,0,0,0
620941,2022,01,01,2022-01-01,11:22:00,3,KY,21,0,1,0,0,0,0,37.3730,-85.3850,37.4090,-85.2780,6.3800,100,1,1,1,217,0,0,0,0
620942,2022,01,01,2022-01-01,11:49:00,3,KY,21,0,1,0,0,0,0,37.5740,-85.2340,37.5760,-85.2300,0.2600,50,1,1,1,155,0,0,0,0
620943,2022,01,01,2022-01-01,11:52:00,3,KY,21,0,0,0,0,0,0,36.9430,-86.4450,36.9440,-86.4380,0.3900,75,1,1,1,227,0,0,0,0
620944,2022,01,01,2022-01-01,12:00:00,3,KY,21,0,1,0,0,0,0,37.3730,-85.3850,37.4090,-85.2780,6.3800,350,1,1,1,217,0,0,0,0
620945,2022,01,01,2022-01-01,12:17:00,3,KY,21,0,1,0,0,0,0,37.0430,-85.9910,37.1020,-85.8140,10.5700,150,1,1,1,9,0,0,0,0
620946,2022,01,01,2022-01-01,12:49:00,3,KY,21,0,1,0,0,0,0,37.7970,-84.2070,37.8060,-84.1770,1.7500,125,1,1,1,151,0,0,0,0
620947,2022,01,01,2022-01-01,12:59:00,3,KY,21,0,1,0,0,40000,10000,37.8270,-84.1010,37.8350,-84.0840,1.1000,140,1,1,1,65,0,0,0,0
620948,2022,01,01,2022-01-01,16:04:00,3,AL,01,0,1,0,0,50000,0,34.9631,-87.1858,35.0459,-86.9145,16.6700,150,2,0,1,0,0,0,0,0
620948,2022,01,01,2022-01-01,16:04:00,3,AL,01,0,1,0,0,0,0,34.9631,-87.1858,34.9968,-87.0996,5.5200,150,2,1,2,83,0,0,0,0
620948,2022,01,01,2022-01-01,16:11:00,3,TN,47,0,1,0,0,50000,0,34.9969,-87.1023,35.0459,-86.9145,11.1500,150,2,1,2,55,0,0,0,0
