om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
713610,2022,01,01,2022-01-01,00:58:00,3,TN,47,0,50.0000,0,0,2000,0,36.2126,-89.4060,36.2126,-89.4060,0,0,0,0,0,131,0,0,0,EG
713611,2022,01,01,2022-01-01,07:12:00,3,OK,40,0,61.0000,0,0,10000,0,34.0000,-96.3900,34.0000,-96.3900,0,0,0,0,0,13,0,0,0,EG
713612,2022,01,01,2022-01-01,10:10:00,3,TN,47,0,59.0000,0,0,0,0,35.3389,-89.9328,35.3389,-89.9328,0,0,0,0,0,157,0,0,0,EG
713613,2022,01,01,2022-01-01,10:15:00,3,TN,47,0,59.0000,0,0,0,0,35.2800,-89.9300,35.2800,-89.9300,0,0,0,0,0,157,0,0,0,MG
713614,2022,01,01,2022-01-01,10:28:00,3,TN,47,0,65.0000,0,0,0,0,35.1390,-89.9270,35.1510,-89.8750,0,0,0,0,0,157,0,0,0,EG
713615,2022,01,01,2022-01-01,10:39:00,3,TN,47,0,50.0000,0,0,0,0,35.1732,-89.7930,35.1732,-89.7930,0,0,0,0,0,157,0,0,0,EG
713616,2022,01,01,2022-01-01,11:05:00,3,TN,47,0,50.0000,0,0,0,0,35.2790,-89.3500,35.2790,-89.3500,0,0,0,0,0,47,0,0,0,EG
713617,2022,01,01,2022-01-01,11:21:00,3,KY,21,0,56.0000,0,0,0,0,37.6000,-85.4000,37.6000,-85.4000,0,0,0,0,0,155,0,0,0,MG
713618,2022,01,01,2022-01-01,11:42:00,3,KY,21,0,74.0000,0,0,0,0,37.5551,-85.3319,37.5551,-85.3319,0,0,0,0,0,155,0,0,0,EG
713619,2022,01,01,2022-01-01,11:52:00,3,KY,21,0,61.0000,0,0,0,0,36.9400,-86.4200,36.9400,-86.4200,0,0,0,0,0,227,0,0,0,EG
713620,2022,01,01,2022-01-01,11:52:00,3,KY,21,0,65.0000,0,0,0,0,36.9400,-86.4300,36.9400,-86.4300,0,0,0,0,0,227,0,0,0,EG
713621,2022,01,01,2022-01-01,11:55:00,3,TN,47,0,50.0000,0,0,3000,0,36.5499,-87.0052,36.5499,-87.0052,0,0,0,0,0,147,0,0,0,EG
713622,2022,01,01,2022-01-01,11:58:00,3,KY,21,0,61.0000,0,0,0,0,36.7400,-86.5900,36.7400,-86.5900,0,0,0,0,0,213,0,0,0,EG
713623,2022,01,01,2022-01-01,12:10:00,3,TN,47,0,50.0000,0,0,5000,0,36.4300,-86.8000,36.4300,-86.8000,0,0,0,0,0,147,0,0,0,EG
713624,2022,01,01,2022-01-01,12:23:00,3,KY,21,0,55.0000,0,0,0,0,37.1719,-85.8575,37.1719,-85.8575,0,0,0,0,0,99,0,0,0,EG
713625,2022,01,01,2022-01-01,12:23:00,3,KY,21,0,55.0000,0,0,0,0,37.2400,-85.8900,37.2400,-85.8900,0,0,0,0,0,99,0,0,0,EG
713626,2022,01,01,2022-01-01,12:24:00,3,TN,47,0,50.0000,0,0,3000,0,36.3500,-87.1700,36.3500,-87.1700,0,0,0,0,0,21,0,0,0,EG
713627,2022,01,01,2022-01-01,12:32:00,3,KY,21,0,65.0000,0,0,0,0,37.1100,-85.7300,37.1100,-85.7300,0,0,0,0,0,169,0,0,0,EG
713628,2022,01,01,2022-01-01,12:33:00,3,TN,47,0,50.0000,0,0,3000,0,36.2694,-86.7554,36.2694,-86.7554,0,0,0,0,0,37,0,0,0,EG
713629,2022,01,01,2022-01-01,12:35:00,3,TN,47,0,50.0000,0,0,3000,0,36.3048,-86.7171,36.3048,-86.7171,0,0,0,0,0,37,0,0,0,EG
713630,2022,01,01,2022-01-01,12:37:00,3,TN,47,0,50.0000,0,0,3000,0,36.2571,-86.7212,36.2571,-86.7212,0,0,0,0,0,37,0,0,0,EG
713631,2022,01,01,2022-01-01,12:43:00,3,KY,21,0,61.0000,0,0,0,0,37.1948,-85.5373,37.1948,-85.5373,0,0,0,0,0,87,0,0,0,EG
713632,2022,01,01,2022-01-01,13:08:00,3,KY,21,0,56.0000,0,0,0,0,37.8100,-84.1300,37.8100,-84.1300,0,0,0,0,0,151,0,0,0,EG
713633,2022,01,01,2022-01-01,13:11:00,3,KY,21,0,55.0000,0,0,0,0,36.6900,-85.7400,36.6900,-85.7400,0,0,0,0,0,171,0,0,0,EG
713634,2022,01,01,2022-01-01,13:11:00,3,KY,21,0,55.0000,0,0,0,0,36.7200,-85.9600,36.7200,-85.9600,0,0,0,0,0,171,0,0,0,EG
713635,2022,01,01,2022-01-01,13:28:00,3,KY,21,0,50.0000,0,0,2000,0,37.9500,-83.6300,37.9500,-83.6300,0,0,0,0,0,165,0,0,0,EG
713636,2022,01,01,2022-01-01,14:06:00,3,KY,21,0,53.0000,0,0,0,0,36.7700,-85.2200,36.7700,-85.2200,0,0,0,0,0,53,0,0,0,EG
713637,2022,01,01,2022-01-01,14:06:00,3,KY,21,0,50.0000,0,0,0,3000,37.8865,-83.2061,37.8865,-83.2061,0,0,0,0,0,175,0,0,0,EG
713638,2022,01,01,2022-01-01,14:27:00,3,KY,21,0,50.0000,0,0,0,2000,36.8594,-84.8317,36.8594,-84.8317,0,0,0,0,0,231,0,0,0,EG
713639,2022,01,01,2022-01-01,14:30:00,3,KY,21,0,50.0000,0,0,0,0,36.6280,-85.1293,36.6280,-85.1293,0,0,0,0,0,53,0,0,0,EG
713640,2022,01,01,2022-01-01,14:30:00,3,KY,21,0,50.0000,0,0,2000,0,37.2096,-84.7153,37.2096,-84.7153,0,0,0,0,0,199,0,0,0,EG
713641,2022,01,01,2022-01-01,14:59:00,3,KY,21,0,50.0000,0,0,0,1000,37.1548,-84.1902,37.1548,-84.1902,0,0,0,0,0,125,0,0,0,EG
713642,2022,01,01,2022-01-01,14:59:00,3,KY,21,0,50.0000,0,0,0,1000,37.2888,-84.1191,37.2888,-84.1191,0,0,0,0,0,125,0,0,0,EG
713643,2022,01,01,2022-01-01,15:00:00,3,KY,21,0,50.0000,0,0,0,1000,37.0012,-84.1599,37.0012,-84.1599,0,0,0,0,0,125,0,0,0,EG
713644,2022,01,01,2022-01-01,15:25:00,3,AL,01,0,52.0000,0,0,0,0,34.7500,-87.7200,34.7500,-87.7200,0,0,0,0,0,33,0,0,0,EG
713645,2022,01,01,2022-01-01,16:00:00,3,KY,21,0,50.0000,0,0,1500,0,36.8685,-83.8822,36.8685,-83.8822,0,0,0,0,0,121,0,0,0,EG
713646,2022,01,01,2022-01-01,16:03:00,3,AL,01,0,52.0000,0,0,3000,0,34.9700,-87.1939,34.9700,-87.1939,0,0,0,0,0,83,0,0,0,EG
713647,2022,01,01,2022-01-01,16:07:00,3,AL,01,0,52.0000,0,0,2000,0,34.9600,-87.1100,34.9600,-87.1100,0,0,0,0,0,83,0,0,0,EG
713648,2022,01,01,2022-01-01,17:00:00,3,TN,47,0,50.0000,0,0,3000,0,35.6550,-85.3560,35.6550,-85.3560,0,0,0,0,0,175,0,0,0,EG
713649,2022,01,01,2022-01-01,17:05:00,3,AL,01,0,52.0000,0,0,3000,0,34.7201,-87.6329,34.7201,-87.6329,0,0,0,0,0,33,0,0,0,EG
713650,2022,01,01,2022-01-01,17:33:00,3,AL,01,0,61.0000,0,0,6000,0,34.7258,-87.4620,34.7258,-87.4620,0,0,0,0,0,33,0,0,0,EG
713651,2022,01,01,2022-01-01,17:33:00,3,AL,01,0,52.0000,0,0,3000,0,34.7600,-87.4100,34.7600,-87.4100,0,0,0,0,0,79,0,0,0,EG
713652,2022,01,01,2022-01-01,17:42:00,3,TN,47,0,43.0000,0,0,500,0,35.2700,-86.2877,35.2700,-86.2877,0,0,0,0,0,127,0,0,0,EG
713653,2022,01,01,2022-01-01,18:23:00,3,TN,47,0,43.0000,0,0,500,0,35.2587,-86.3971,35.2587,-86.3971,0,0,0,0,0,127,0,0,0,EG
713654,2022,01,01,2022-01-01,18:25:00,3,TN,47,0,43.0000,0,0,500,0,35.2549,-86.3558,35.2549,-86.3558,0,0,0,0,0,127,0,0,0,EG
713655,2022,01,01,2022-01-01,18:38:00,3,TN,47,0,52.0000,0,0,0,0,35.6800,-85.2300,35.6800,-85.2300,0,0,0,0,0,7,0,0,0,EG
713656,2022,01,01,2022-01-01,19:15:00,3,TN,47,0,52.0000,0,0,0,0,35.8300,-84.6700,35.8300,-84.6700,0,0,0,0,0,145,0,0,0,EG
713657,2022,01,01,2022-01-01,19:30:00,3,AL,01,0,52.0000,0,0,2000,0,34.5900,-86.7400,34.5900,-86.7400,0,0,0,0,0,89,0,0,0,EG
713658,2022,01,01,2022-01-01,20:00:00,3,AL,01,0,52.0000,0,0,2000,0,34.8548,-86.1001,34.8548,-86.1001,0,0,0,0,0,71,0,0,0,EG
713659,2022,01,01,2022-01-01,20:08:00,3,AL,01,0,43.0000,0,0,500,0,34.6936,-86.2477,34.6936,-86.2477,0,0,0,0,0,71,0,0,0,EG
713660,2022,01,01,2022-01-01,20:35:00,3,AL,01,0,56.0000,0,0,5000,0,34.7936,-85.8149,34.7936,-85.8149,0,0,0,0,0,71,0,0,0,EG
713661,2022,01,01,2022-01-01,20:39:00,3,AL,01,0,52.0000,0,0,1000,0,34.9271,-85.6546,34.9271,-85.6546,0,0,0,0,0,71,0,0,0,EG
713662,2022,01,01,2022-01-01,20:45:00,3,AL,01,0,43.0000,0,0,500,0,34.9178,-85.6230,34.9178,-85.6230,0,0,0,0,0,71,0,0,0,EG
713663,2022,01,01,2022-01-01,20:54:00,3,GA,13,0,50.0000,0,0,0,0,34.8158,-85.4724,34.8158,-85.4724,0,0,0,0,0,83,0,0,0,EG
713664,2022,01,01,2022-01-01,20:56:00,3,GA,13,0,45.0000,0,0,4000,0,34.9195,-85.4196,34.9195,-85.4196,0,0,0,0,0,83,0,0,0,EG
713665,2022,01,01,2022-01-01,21:28:00,3,TN,47,0,52.0000,0,0,0,0,35.0800,-85.1600,35.0800,-85.1600,0,0,0,0,0,65,0,0,0,EG
713666,2022,01,01,2022-01-01,21:28:00,3,TN,47,0,52.0000,0,0,0,0,35.0800,-85.1600,35.0800,-85.1600,0,0,0,0,0,65,0,0,0,EG
713667,2022,01,01,2022-01-01,21:31:00,3,AL,01,0,43.0000,0,0,500,0,34.7379,-85.9608,34.7379,-85.9608,0,0,0,0,0,71,0,0,0,EG
713668,2022,01,02,2022-01-02,05:56:00,3,GA,13,0,48.0000,0,0,0,3000,33.0000,-84.5800,33.0000,-84.5800,0,0,0,0,0,199,0,0,0,EG
713669,2022,01,02,2022-01-02,07:55:00,3,GA,13,0,52.0000,0,0,0,0,32.9500,-83.2600,32.9500,-83.2600,0,0,0,0,0,319,0,0,0,EG
713670,2022,01,02,2022-01-02,13:20:00,3,AL,01,0,50.0000,0,0,0,0,31.2000,-85.4800,31.2000,-85.4800,0,0,0,0,0,69,0,0,0,EG
713671,2022,01,02,2022-01-02,13:40:00,3,FL,12,0,50.0000,0,0,1000,0,30.7800,-85.9600,30.7800,-85.9600,0,0,0,0,0,59,0,0,0,EG
713672,2022,01,02,2022-01-02,13:45:00,3,AL,01,0,50.0000,0,0,0,0,31.2600,-85.2100,31.2600,-85.2100,0,0,0,0,0,69,0,0,0,EG
713673,2022,01,02,2022-01-02,13:50:00,3,GA,13,0,50.0000,0,0,0,0,31.3000,-85.0300,31.3000,-85.0300,0,0,0,0,0,99,0,0,0,EG
713674,2022,01,02,2022-01-02,14:00:00,3,AL,01,0,50.0000,0,0,20000,0,31.2200,-85.3900,31.2200,-85.3900,0,0,0,0,0,69,0,0,0,EG
713675,2022,01,02,2022-01-02,14:00:00,3,AL,01,0,50.0000,0,0,1000,0,31.0300,-85.4800,31.0300,-85.4800,0,0,0,0,0,69,0,0,0,EG
713676,2022,01,02,2022-01-02,14:00:00,3,FL,12,0,50.0000,0,0,2000,0,30.9500,-85.5100,30.9500,-85.5100,0,0,0,0,0,63,0,0,0,EG
713677,2022,01,02,2022-01-02,14:20:00,3,AL,01,0,50.0000,0,0,0,0,31.0500,-85.3000,31.0500,-85.3000,0,0,0,0,0,69,0,0,0,EG
713678,2022,01,02,2022-01-02,15:05:00,3,GA,13,0,35.0000,0,0,1000,0,31.8800,-83.7500,31.8800,-83.7500,0,0,0,0,0,81,0,0,0,EG
713679,2022,01,02,2022-01-02,15:20:00,3,GA,13,0,50.0000,0,0,2000,0,31.5700,-84.1900,31.5700,-84.1900,0,0,0,0,0,95,0,0,0,EG
713680,2022,01,02,2022-01-02,15:22:00,3,GA,13,0,52.0000,0,0,0,0,31.9400,-83.4400,31.9400,-83.4400,0,0,0,0,0,315,0,0,0,EG
713681,2022,01,02,2022-01-02,15:22:00,3,GA,13,0,52.0000,0,0,0,0,31.9400,-83.4300,31.9400,-83.4300,0,0,0,0,0,315,0,0,0,EG
713682,2022,01,02,2022-01-02,15:55:00,3,GA,13,0,48.0000,0,0,3000,0,32.4300,-83.0600,32.4300,-83.0600,0,0,0,0,0,175,0,0,0,EG
713683,2022,01,02,2022-01-02,15:55:00,3,GA,13,0,43.0000,0,0,2000,0,32.6300,-83.0900,32.6300,-83.0900,0,0,0,0,0,175,0,0,0,EG
713684,2022,01,02,2022-01-02,16:12:00,3,GA,13,0,50.0000,0,0,0,0,31.7800,-83.4900,31.7800,-83.4900,0,0,0,0,0,287,0,0,0,EG
713685,2022,01,02,2022-01-02,16:24:00,3,GA,13,0,35.0000,0,0,1000,0,32.2500,-82.9100,32.2500,-82.9100,0,0,0,0,0,175,0,0,0,EG
713686,2022,01,02,2022-01-02,16:25:00,3,GA,13,0,65.0000,0,0,50000,0,31.8300,-83.4000,31.8300,-83.4000,0,0,0,0,0,17,0,0,0,EG
713687,2022,01,02,2022-01-02,16:30:00,3,GA,13,0,35.0000,0,0,1000,0,32.2500,-82.9100,32.2500,-82.9100,0,0,0,0,0,175,0,0,0,EG
